Trip,Starttime,Endtime,vehicle_id,trip_id,event_id,milliseconds,datetime,fix_mode,lat,long,alt,speed,heading,accuracy_horiz,accuracy_vert,accuracy_speed,accuracy_heading,acc,yaw_rate,yaw_rate_dot,range,range_rate,event_marker
3344,32900,34380,54,3344,4,337400,2019-03-13T16:30:59199999930Z,4.0,42.3011428,-83.7064172,272.7529925,3.777,270.77838,0.675,1.286,0.125,0.00036,0.4061141680942403,-0.4750061,1.35009765,31.6875,-7.375,False
3344,32900,34380,54,3344,4,337500,2019-03-13T16:30:59299999835Z,4.0,42.3011428,-83.70642212,272.7444,3.777,270.77838,0.675,1.286,0.125,0.00036,0.3041217639001282,-0.66000366,-3.14990234,30.75,-10.5625,False
3344,32900,34380,54,3344,4,337600,2019-03-13T16:30:59400000014Z,4.0,42.3011428,-83.70642896,272.727804,3.976,270.36154,0.68,1.299,0.125,0.0003399,0.3091863586941086,-0.51499938,2.25,30.4375,-10.375,False
3344,32900,34380,54,3344,4,337700,2019-03-13T16:30:59500000038Z,4.0,42.3011429,-83.70643328,272.722416,3.976,270.36154,0.68,1.299,0.125,0.0003399,0.5383581623807454,-0.2250061,-0.89990234,30.1875,-9.4375,False
3344,32900,34380,54,3344,4,337800,2019-03-13T16:30:59600000062Z,4.0,42.3011429,-83.70643838571428,272.71644142857144,3.976,270.36154,0.68,1.299,0.125,0.0003399,0.6568492113711999,-0.16000366,-2.69995117,29.875,-7.9375,False
3344,32900,34380,54,3344,4,337900,2019-03-13T16:30:59700000086Z,4.0,42.3011429,-83.7064431,272.7112525,3.976,270.36154,0.68,1.299,0.125,0.0003399,0.6781610532354426,0.21499633,-5.39990234,26.25,-4.3125,False
3344,32900,34380,54,3344,4,338000,2019-03-13T16:30:59800000110Z,4.0,42.3011429,-83.70644777999999,272.705416,3.976,270.36154,0.68,1.299,0.125,0.0003399,0.4685432424044636,0.44000244,6.30004882,26.0,-3.625,False
3344,32900,34380,54,3344,4,338100,2019-03-13T16:30:59900000133Z,4.0,42.30114294,-83.70645248,272.699412,3.976,270.36154,0.68,1.299,0.125,0.0003399,0.5503198127481315,0.30999755,-3.14990234,25.6875,-3.1875,False
3344,32900,34380,54,3344,4,338200,2019-03-13T16:31:00157Z,4.0,42.3011431,-83.70645766666667,272.69333666666665,3.976,270.36154,0.68,1.299,0.125,0.0003399,0.5913583809138825,0.27999877,2.25,25.375,-3.75,False
3344,32900,34380,54,3344,4,338300,2019-03-13T16:31:00100000062Z,4.0,42.3011431,-83.70646276,272.687812,3.976,270.36154,0.68,1.299,0.125,0.0003399,0.7350525706716236,0.47999572,-4.05004882,25.625,-3.875,False
3344,32900,34380,54,3344,4,338400,2019-03-13T16:31:00199999966Z,4.0,42.3011431,-83.70646719999999,272.68226250000004,3.976,270.36154,0.68,1.299,0.125,0.0003399,0.607278541117946,0.47999572,3.14990234,25.3125,-3.9375,False
3344,32900,34380,54,3344,4,338500,2019-03-13T16:31:00299999871Z,4.0,42.3011431,-83.70647235999999,272.675804,3.976,270.36154,0.68,1.299,0.125,0.0003399,0.6887188138891207,0.49000549,-3.14990234,23.9375,-4.5625,False
3344,32900,34380,54,3344,4,338600,2019-03-13T16:31:00400000021Z,4.0,42.3011428,-83.70647629999999,272.54367666666667,3.916,269.6036,0.683,1.305,0.116,0.0003399,0.6051664660247925,0.14999389,-4.05004882,24.125,-4.375,False
3344,32900,34380,54,3344,4,338700,2019-03-13T16:31:00450000033Z,4.0,42.3011428,-83.7064803,272.53701,3.916,269.6036,0.683,1.305,0.116,0.0003399,0.5077677809309232,-0.28500366,-0.44995117,23.875,-4.1875,False
3344,32900,34380,54,3344,4,338800,2019-03-13T16:31:00600000039Z,4.0,42.3011427,-83.7064858,272.5276866666667,3.916,269.6036,0.683,1.305,0.116,0.0003399,0.5572805837297008,-0.46499633,-4.05004882,23.5625,-3.5625,False
